1|Owner|123|Owner|Luka|Milanko|Yes|Centar
2|Guest|123|Guest|Luka|Milanko|Yes|Petrovaradin
3|Guide|123|Guide|Luka|Milanko|No|Centar
4|Guest2|123|Guest2|Luka|Milanko|Yes|Centar
5|TrailBlazer|hik3r|Guest|Luka|Milanko|No|
6|CultureCraze|art1st|Guide|Luka|Milanko|Yes|
7|BeachBum|sands2|Owner|Luka|Milanko|No|
8|FoodieFrenzy|yumyum|Guest|Luka|Milanko|Yes|
9|AdventureAddict|outdoors|Guide|Luka|Milanko|Unknown|
10|RoadWarrior|driv3r|Owner|Luka|Milanko|Yes|
11|JetSetter|travel4fun|Guest|Luka|Milanko|Unknown|
12|Backpacker|adventur3|Guest|Luka|Milanko|Unknown|
13|Explorer|discover1|Guest|Luka|Milanko|Unknown|
14|Beachcomber|sun4life|Guest|Luka|Milanko|Unknown|
15|CultureVulture|artsy1|Guest|Luka|Milanko|Unknown|
16|MountainMan|moun7ain|Guest|Luka|Milanko|Unknown|
17|OceanOasis|ocean4ever|Guest|Luka|Milanko|Unknown|
18|TravelingTurtle|slowtravel|Guest|Luka|Milanko|Unknown|
19|GlobalGypsy|worldwide|Guest|Luka|Milanko|Unknown|
20|NatureNerd|leafy1|Guest|Luka|Milanko|Unknown|
